7,6474300,recv,1
7,6476744,recv,2
1,6474300,recv,1
2,6474300,recv,1
3,6474300,recv,1
4,6474300,recv,1
5,6474300,recv,1
6,6474300,recv,1
7,6474300,recv,3
1,6476744,recv,2
2,6476744,recv,2
3,6476744,recv,2
4,6476744,recv,2
5,6476744,recv,2
6,6476744,recv,2
7,6476744,recv,4
1,6474300,recv,3
2,6474300,recv,3
3,6474300,recv,3
4,6474300,recv,3
5,6474300,recv,3
6,6474300,recv,3
7,6474300,recv,5
1,6476744,recv,4
2,6476744,recv,4
3,6476744,recv,4
4,6476744,recv,4
5,6476744,recv,4
6,6476744,recv,4
7,6476744,recv,6
1,6474300,recv,5
2,6474300,recv,5
3,6474300,recv,5
4,6474300,recv,5
5,6474300,recv,5
6,6474300,recv,5
7,6474300,recv,7
1,6476744,recv,6
2,6476744,recv,6
3,6476744,recv,6
4,6476744,recv,6
5,6476744,recv,6
6,6476744,recv,6
7,6476744,recv,8
1,6474300,recv,7
2,6474300,recv,7
3,6474300,recv,7
4,6474300,recv,7
5,6474300,recv,7
6,6474300,recv,7
7,6474300,recv,9
1,6476744,recv,8
2,6476744,recv,8
3,6476744,recv,8
4,6476744,recv,8
5,6476744,recv,8
6,6476744,recv,8
7,6476744,recv,10
